PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PitchUID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ
1,10/13/2021,1:20:19 PM,"Sandy, Will",1000048802,Left,NOR_TAR2,,Undefined,Warmup,,81.47711,-1.93677,1.5143,1801.27792,146.0805,10:45,4.72944,-2.0324,3.8523,-26.79169,18.56502,-12.50982,0.62846,-1.61481,74.50214,-6.77061,-0.75678,0.48472,6.69902,9.85567,1.87056,50,4.47479,-2.62618,-118.13185,-5.05994,9.46791,22.46953,-18.24475,d2be0e23-cfef-4464-923f-f2864780ef92,b7959947-0476-4cd6-a540-95522e7e0494,77.76104,Pitch,21380013,,,,,,,,,,,,,,,,,,
2,10/13/2021,1:20:32 PM,"Sandy, Will",1000048802,Left,NOR_TAR2,,Undefined,Warmup,,81.48765,-2.67122,1.11128,1859.79926,156.20007,11:15,4.79131,-2.00315,4.00021,-24.99601,20.00419,-8.83945,0.13791,-1.67127,74.77999,-7.17899,-0.49527,0.48281,4.75449,10.80229,1.88653,50,4.46124,-1.94632,-118.16689,-6.49224,6.74384,21.84995,-16.85193,6a559582-13b7-4473-94c3-2ae46d37d544,b7959947-0476-4cd6-a540-95522e7e0494,78.06846,Pitch,21380013,,,,,,,,,,,,,,,,,,
3,10/13/2021,1:20:47 PM,"Sandy, Will",1000048802,Left,NOR_TAR2,,Undefined,Warmup,,80.66248,-1.2643,2.56286,1869.73844,155.12409,11:15,4.8277,-1.89684,4.17052,-25.72869,20.3069,-9.4336,1.47052,-0.22507,73.18049,-5.95707,0.83627,0.48834,5.55724,10.69962,1.62309,50,4.6618,-4.87732,-116.89853,-3.55091,7.63961,23.38031,-17.46514,73ddadec-ded3-491c-9abd-2f885ae593c8,b7959947-0476-4cd6-a540-95522e7e0494,77.18554,Pitch,21380013,,,,,,,,,,,,,,,,,,
4,10/13/2021,1:21:04 PM,"Sandy, Will",1000048802,Left,NOR_TAR2,,Undefined,Warmup,,76.03281,-0.00901,2.47089,1587.57047,134.09014,10:30,4.86395,-1.97138,4.26661,-38.53132,12.90798,-13.3689,1.64437,-0.72,69.36806,-7.0327,0.02315,0.5162,7.52436,6.58114,1.71562,50,4.82486,-4.28829,-110.27392,-1.37269,9.23439,20.21833,-24.09723,84db5687-12ed-425a-907a-19a40b86c531,b7959947-0476-4cd6-a540-95522e7e0494,73.0189,Pitch,21380013,,,,,,,,,,,,,,,,,,
5,10/13/2021,1:21:16 PM,"Sandy, Will",1000048802,Left,NOR_TAR2,,Undefined,Warmup,,75.76163,-1.38462,2.3164,1732.07111,127.33643,10:15,4.71256,-1.92072,4.33445,-39.54881,12.08928,-15.90502,0.09241,-1.0315,69.45217,-8.57096,-0.59795,0.5172,8.78121,6.56779,1.68676,50,4.52501,-3.89168,-109.88469,-4.03386,10.71344,19.86422,-24.16108,09bb0bb6-e56d-4fd4-aa11-a117dab64999,b7959947-0476-4cd6-a540-95522e7e0494,72.87822,Pitch,21380013,,,,,,,,,,,,,,,,,,
6,10/13/2021,1:21:36 PM,"Sandy, Will",1000048802,Left,NOR_TAR2,,Undefined,Warmup,,69.71643,0.89565,0.55655,1806.13691,295.13419,3:45,5.00853,-2.0306,3.55867,-64.62623,-1.40028,2.87226,0.49109,-1.25188,63.72063,-10.721,1.07846,0.57229,-1.25846,-0.97698,1.95976,50,5.04032,-1.08085,-100.989,-0.6677,-1.28468,18.21459,-33.17138,4174232b-05fa-4cfa-b7b4-ed5ec72c493c,b7959947-0476-4cd6-a540-95522e7e0494,65.86203,Pitch,21380013,,,,,,,,,,,,,,,,,,
7,10/13/2021,1:21:50 PM,"Sandy, Will",1000048802,Left,NOR_TAR2,,Undefined,Warmup,,68.89682,0.73592,1.16423,1796.95482,326.00008,4:45,5.00706,-1.96352,3.75273,,,,,,,,,,-1.20904,-2.63384,1.82284,50,5.01573,-2.13337,-99.75922,-1.03977,-1.19642,18.74826,-34.78038,34a72f9f-5e4b-4aaa-b546-504ad33f5b92,b7959947-0476-4cd6-a540-95522e7e0494,,Pitch,21380013,,,,,,,,,,,,,,,,,,
8,10/13/2021,1:22:02 PM,"Sandy, Will",1000048802,Left,NOR_TAR2,,Undefined,Warmup,,82.02765,-3.35425,3.41596,1847.38414,163.79239,11:30,4.63162,-2.01452,4.4667,,,,,,,,,,3.65107,10.34628,1.65945,50,4.25366,-6.89083,-118.79939,-7.91377,5.24804,21.52431,-17.30234,c66708c3-6bd7-46a1-aab8-b2187026d0b7,b7959947-0476-4cd6-a540-95522e7e0494,,Pitch,21380013,,,,,,,,,,,,,,,,,,
9,10/13/2021,1:22:35 PM,"Sandy, Will",1000048802,Left,NOR_TAR2,,Fastball,Live,,85.24291,-2.71384,4.07498,1833.12981,153.27787,11:00,4.63035,-1.97415,4.4725,-21.82387,18.71647,-9.43951,0.21653,1.1298,78.16819,-6.6838,2.35163,0.45826,5.91885,10.31046,1.55359,50,4.32346,-8.42862,-123.42167,-6.70707,9.16974,23.55719,-16.20063,b97a2ed3-ba3c-49a9-b16d-039071de0072,b7959947-0476-4cd6-a540-95522e7e0494,82.25061,Pitch,21380013,,,,,,,,,,,,,,,,,,
10,10/13/2021,1:22:49 PM,"Sandy, Will",1000048802,Left,NOR_TAR2,,Fastball,Live,,85.54062,-1.72011,2.33029,1919.318,148.20109,11:00,4.62848,-2.14929,4.29051,-21.08251,19.26396,-11.96455,1.22478,-0.91661,78.37316,-5.55374,0.14714,0.45717,6.70907,10.26284,1.90843,50,4.42101,-4.57554,-124.11281,-4.56739,10.51058,23.82496,-16.09605,bd7458df-cd47-4713-a392-63e33e5074f8,b7959947-0476-4cd6-a540-95522e7e0494,82.44798,Pitch,21380013,,,,,,,,,,,,,,,,,,
